id;district_id;place_name;street_address;address_locality;created_at;updated_at;deleted_at
478;100101;Centro de Esparcimiento del Arena Bambú - Tingo María;NULL;HUANUCO - HUÁNUCO;3/06/2024 08:32;3/06/2024 08:32;NULL
479;60101;Puntal Sal;NULL;CAJAMARCA;4/06/2024 04:52;4/06/2024 04:52;NULL
480;130101;Club Dema;Av. Mansiche 1760;Av. Mansiche 1760 - TRUJILLO - LA LIBERTAD;5/06/2024 04:46;5/06/2024 04:46;NULL
481;150103;Central Florklórica Puno;Av. Las torres #349;Av. Las torres #349 - ATE - LIMA;6/06/2024 10:52;6/06/2024 10:52;NULL
482;80903;Estadio Municipal de Huyro;NULL;HUAYOPATA - CUSCO;7/06/2024 10:21;7/06/2024 10:21;NULL
483;140101;La Explanada Perú;NULL;CHICLAYO - LAMBAYEQUE;8/06/2024 05:20;8/06/2024 05:20;NULL
484;140108;Villa Deportiva Monsefú;NULL;MONSEFU - LAMBAYEQUE;8/06/2024 11:00;8/06/2024 11:00;NULL
485;150132;Parque Zonal Wiracocha;AV PROCERES DE LA INDEPENDENCIA 15431;AV PROCERES DE LA INDEPENDENCIA 15431 - SAN JUAN DE LURIGANCHO - LIMA;10/06/2024 05:22;12/06/2024 08:06;NULL
486;120114;Fontana Lounge Bar;Jr. Circuito Los Heroes 526 Urb. Piopata;Jr. Circuito Los Heroes 526 Urb. Piopata - EL TAMBO - JUNÍN;11/06/2024 10:10;11/06/2024 10:10;NULL
487;21801;Restaurant Doña Esperanza;NULL;CHIMBOTE - ÁNCASH;13/06/2024 12:17;13/06/2024 12:17;NULL
488;150122;McCarthy's Irish Pub Lima;C. 2 de Mayo 220;C. 2 de Mayo 220 - MIRAFLORES - LIMA;14/06/2024 11:27;14/06/2024 11:27;NULL
489;150142;Complejo Deportivo Quinches;Av. 1 de Mayo;Av. 1 de Mayo - VILLA EL SALVADOR - LIMA;14/06/2024 15:52;14/06/2024 15:52;NULL
490;150501;Auditorio de la Casa de Cultura;Mariscal Benavides 1370;Mariscal Benavides 1370 - SAN VICENTE DE CAÑETE - LIMA;17/06/2024 10:42;17/06/2024 10:52;NULL
491;40101;Av. de las convenciones / Cerro Juli;NULL;AREQUIPA;17/06/2024 12:48;17/06/2024 12:48;NULL
492;120114;La Caleza Real;Av. Mariscal Castilla 1860;Av. Mariscal Castilla 1860 - EL TAMBO - JUNÍN;18/06/2024 04:59;18/06/2024 04:59;NULL
493;40101;El mejor local;NULL;AREQUIPA;18/06/2024 07:39;18/06/2024 07:39;NULL
494;200101;Auditorio de la Universidad Nacional de Piura;Urb. Miraflores S/N, Castilla, 20002;Urb. Miraflores S/N, Castilla, 20002 - PIURA;19/06/2024 07:54;19/06/2024 07:54;NULL
495;150117;Campus Unicachi;Av Proceres 8087;Av Proceres 8087 - LOS OLIVOS - LIMA;22/06/2024 08:52;22/06/2024 08:52;NULL
